Cell_line	Response	ENSG00000006377	ENSG00000019505	ENSG00000021826	ENSG00000026103	ENSG00000026508	ENSG00000027075	ENSG00000073737	ENSG00000074211	ENSG00000078098	ENSG00000078401	ENSG00000081181	ENSG00000084207	ENSG00000086696	ENSG00000090339	ENSG00000099260	ENSG00000099284	ENSG00000100097	ENSG00000101115	ENSG00000101210	ENSG00000103485	ENSG00000103490	ENSG00000104728	ENSG00000105290	ENSG00000105750	ENSG00000105852	ENSG00000105880	ENSG00000105894	ENSG00000107796	ENSG00000107984	ENSG00000111186	ENSG00000112139	ENSG00000112319	ENSG00000115414	ENSG00000115457	ENSG00000116741	ENSG00000123689	ENSG00000125430	ENSG00000127955	ENSG00000129009	ENSG00000129521	ENSG00000129538	ENSG00000130176	ENSG00000131435	ENSG00000133048	ENSG00000133169	ENSG00000134569	ENSG00000136167	ENSG00000136235	ENSG00000136960	ENSG00000137393	ENSG00000138685	ENSG00000142089	ENSG00000142552	ENSG00000145945	ENSG00000146674	ENSG00000147180	ENSG00000147852	ENSG00000151892	ENSG00000152952	ENSG00000152953	ENSG00000153406	ENSG00000154096	ENSG00000155792	ENSG00000158457	ENSG00000158806	ENSG00000160200	ENSG00000160284	ENSG00000160886	ENSG00000163520	ENSG00000163814	ENSG00000164649	ENSG00000164695	ENSG00000165125	ENSG00000165568	ENSG00000166033	ENSG00000166670	ENSG00000166897	ENSG00000168961	ENSG00000169715	ENSG00000169855	ENSG00000169994	ENSG00000172037	ENSG00000175274	ENSG00000175315	ENSG00000178814	ENSG00000181143	ENSG00000182585	ENSG00000182809	ENSG00000184254	ENSG00000184347	ENSG00000185885	ENSG00000186007	ENSG00000187210	ENSG00000188015	ENSG00000188290	ENSG00000198732	ENSG00000203926	ENSG00000204382	ENSG00000204644	ENSG00000204941
ACH-000464	0.536807	0.713695814843	0.8479969065549999	1.2078928516399998	4.74469931421	8.59585420665	1.90689059561	0.378511623254	0.111031312389	7.009772643630001	1.42223300068	2.59454854955	7.640172618869999	0.757023246507	5.111031312390001	2.39780296186	3.2479275134400005	11.9194592691	1.63691458036	4.657640005209999	2.92029330021	2.21412480535	4.141596278380001	5.352617298959999	2.21723071622	0.0	1.344828497	5.98299357469	5.02812708232	4.91552090075	4.239550796610001	4.2735158897000005	2.7970129778400006	11.2637386748	7.24136352745	2.94485844581	3.07553263117	2.5993177937	4.64270157183	1.45417589319	1.15704371015	0.0	2.2357270598400003	0.475084882949	6.30323278525	6.32984117653	2.69376571222	2.07724299893	7.5609441780600015	3.55581615506	0.2750070475	2.25701061821	6.01970191444	2.43829285158	0.0	5.3476656563	2.76341157447	2.03210084317	0.333423733725	6.81877388501	1.13093086983	4.43429461796	8.64706262041	0.8155754288629999	0.62293035092	0.6959938131100001	4.06781078379	3.0840642647900003	0.163498732283	0.1243281350019999	0.250961573533	3.99276843077	0.0840642647885	0.0285691521968	0.0	7.49601487344	0.3895668117629999	1.7782085764	2.55581615506	4.1866590172	5.63168636631	0.0976107966264	7.541174073410001	4.95698592461	0.0565835283664	0.356143810225	0.0426443374084999	0.226508529809	6.4053116826	3.3729520979100003	0.333423733725	1.21412480535	0.1243281350019999	2.84197311893	1.84398384405	0.7739963251109999	0.250961573533	0.0	0.0976107966264	0.0	0.0285691521968
ACH-000028	0.0513129	0.0	0.6322682155	0.250961573533	1.96716860753	2.6758159311700003	4.12018602753	0.0	4.614709844119999	0.0703893278914	4.20320115632	1.57531233069	1.36737106565	0.1243281350019999	1.85996954822	0.263034405834	5.529196268	8.49853012328	2.9411063109500004	10.6514105259	6.3746917521	6.20104568625	3.20163386117	3.12267271882	3.20163386117	0.0426443374084999	0.1243281350019999	0.0426443374084999	2.49313492231	7.73809225962	0.3219280948869999	0.163498732283	1.18269229752	4.09169983414	8.27108946627	0.831877241192	0.310340120612	1.18269229752	0.963474123975	0.0285691521968	4.54535064482	0.0	0.0	0.0	0.286881147788	0.0426443374084999	0.286881147788	2.0	0.3895668117629999	0.0143552929771	1.54596836911	0.0426443374084999	8.129746665839999	0.704871964456	2.96532254837	2.16992500144	1.56559717585	2.124328135	5.22843392051	4.815063017190001	0.0976107966264	6.08214904135	0.150559676575	3.21567859661	2.43829285158	0.0	6.89542381038	3.60169651648	0.48542682717	0.1243281350019999	0.0976107966264	4.69932952567	3.51727569321	0.0426443374084999	3.63807383718	3.39917109382	0.0	0.722466024471	0.432959407276	0.263034405834	4.529196268	0.0565835283664	6.9505850568300005	5.802710219290001	0.0	1.7949356628	0.545968369105	1.24488705912	8.29434504834	2.1440463696200003	0.0285691521968	5.16591193894	0.565597175854	2.99638874645	0.214124805353	4.70154905694	0.765534746363	0.0285691521968	0.0143552929771	0.0	0.150559676575
ACH-000351	0.565526	0.6959938131100001	0.757023246507	1.80735492206	3.51349074559	9.57620088181	0.545968369105	0.298658315565	1.16349873228	1.73118324157	4.33985000288	1.04264433741	8.75868959962	0.13750352375	5.922911406259999	6.50064273606	3.3476656563	10.7700030913	2.16992500144	8.2507721316	0.8479969065549999	6.63328588726	3.5434958834300003	6.36439733732	3.11270013275	1.25096157353	0.111031312389	0.641546029088	2.24184018356	7.03716255013	1.53106949273	1.2016338611700002	0.226508529809	9.4620523188	4.7322691995	5.14608493862	3.5033487351699995	1.50080205306	4.614709844119999	2.32192809489	4.52669484554	0.367371065649	1.13093086983	6.54550510069	0.855989697308	0.286881147788	2.61588707392	1.91838623445	2.47248777146	2.0071955014	1.68257329735	0.0976107966264	9.22922739619	1.18903382439	2.42492208821	11.7447497619	2.2957230245400004	3.4711874603900004	0.8479969065549999	4.66334461937	0.13750352375	5.40224465525	0.0840642647885	1.7441610955700002	2.75274859141	0.2750070475	6.16571099248	4.03826057518	5.98504496225	7.465076580780001	5.97979671828	5.28429202639	3.43295940728	2.39506279952	3.15866017535	6.50191677967	0.0703893278914	3.748461233	4.26753579807	6.139346700290001	4.53605290024	0.432959407276	7.35155766245	5.57742882804	0.604071323669	2.26002565596	3.14893410453	1.33342373373	9.72379744369	8.25752927645	0.0976107966264	7.82965931853	0.250961573533	3.08065766335	5.72055209161	3.5447326559300008	1.05658352837	2.26002565596	7.443275111769999	3.39231742278	0.226508529809
ACH-000026	0.00165	0.0	0.17632277264	1.4750848829499998	5.88776894865	9.28262513419	2.18903382439	0.378511623254	4.97131362407	0.263034405834	0.2016338611699999	1.5160151469999998	8.33521168171	0.238786859587	6.51648798091	0.0703893278914	4.04439411936	11.8118964421	0.0840642647885	6.90014226036	7.074783707180001	6.20633064787	3.79908730607	4.86740230573	0.0	4.48864353985	0.0976107966264	0.0976107966264	3.63807383718	0.333423733725	0.0426443374084999	2.60880924268	0.150559676575	7.171927354349999	6.14669594803	6.24678809384	0.298658315565	0.0143552929771	3.3476656563	0.286881147788	0.454175893186	0.0	0.0143552929771	0.18903382439	0.3219280948869999	0.0840642647885	2.07382023329	0.555816155062	0.97085365434	0.0976107966264	2.89141918685	4.27724089833	4.35895882583	0.992768430769	3.68032435684	2.95791459863	0.0285691521968	4.51032901949	0.238786859587	5.17512534966	0.163498732283	6.08873524619	0.53605290024	1.85199883711	4.44028782084	0.0143552929771	4.36737106565	3.91169158187	1.53106949273	0.0976107966264	4.83137058797	5.87872534148	0.0285691521968	0.0143552929771	2.81147103053	5.239932613490001	0.1243281350019999	3.88166461932	1.35614381023	0.584962500721	3.5397791917	0.0	6.25587835258	2.76341157447	0.226508529809	0.0703893278914	0.0285691521968	0.18903382439	5.98139603197	0.454175893186	0.0703893278914	1.32768736418	4.17712050285	4.61647532878	3.22187708108	3.29278174923	1.18903382439	0.0840642647885	0.0285691521968	0.263034405834	0.150559676575
ACH-000802	0.311007	2.67807190511	0.0976107966264	0.238786859587	3.33771109213	7.45195287856	4.58195375085	1.80735492206	4.05571626351	0.0426443374084999	3.29572302454	2.9708536543400004	10.5550683913	0.286881147788	5.53853816363	0.526068811668	5.2735158897000005	6.9647451701100005	3.93168305706	2.99457972422	1.83995958749	3.4019034716100003	0.0565835283664	0.226508529809	3.13093086983	1.7484612330000002	1.64154602909	0.1243281350019999	1.94485844581	6.023477151830001	2.26903314646	1.76977173925	2.08065766335	4.21645486514	6.57652213792	4.34837407519	5.94392132655	0.0	3.6415460290900006	0.0565835283664	1.83995958749	0.1243281350019999	0.575312330687	4.87528859822	0.13750352375	0.298658315565	3.0840642647900003	6.82017896242	3.49057013045	0.111031312389	3.3645724323	2.9763636357300003	9.47696891861	1.43829285158	2.70043971814	4.28095631383	0.0143552929771	0.6959938131100001	0.163498732283	4.44956137461	0.0143552929771	5.329482431030001	0.3448284969969999	1.95233356637	2.61588707392	2.9855004303	4.32624970084	3.7398481027	6.29186136959	3.93357263826	5.30048984436	6.105594275800001	4.7949356628	0.0703893278914	2.58014548442	4.53605290024	3.51222688651	2.34198574723	4.88849973551	6.142821844119999	0.333423733725	1.13750352375	5.70487196446	1.88362081629	3.29572302454	4.56010351346	3.94953493302	0.2016338611699999	4.19534759832	6.00157708539	0.0	8.54808978131	3.15866017535	4.56681515401	2.2750070475	3.31903981556	1.63691458036	0.13750352375	0.0703893278914	0.18903382439	0.0976107966264
ACH-000792	0.33112	0.0143552929771	1.04264433741	2.52356195606	4.86046625852	10.4295113567	3.73443866614	1.21412480535	2.66448284036	3.97452931248	0.432959407276	1.09085343045	8.388404823	0.0976107966264	6.489607156749999	3.2600256559599994	0.2016338611699999	11.2461467746	3.15704371015	1.2630344058299998	7.2680038864	3.21723071622	5.15096578356	1.3219280948899998	2.66448284036	0.948600847493	0.286881147788	3.16510798514	6.35807972335	0.50589092973	7.362119166729999	0.495695162624	3.12928301694	14.624395667	1.86789646399	2.62058641045	8.73094557927	3.987320865930001	2.58496250072	0.0703893278914	1.57531233069	0.214124805353	5.28318097895	5.43862553809	1.18269229752	0.18903382439	3.91360751182	6.98196678604	3.19849415364	7.348639642619999	0.17632277264	2.08065766335	7.77689356852	9.19039263171	3.70487196446	5.44757919655	0.0426443374084999	6.341630009330001	0.13750352375	5.59842476053	2.21412480535	5.292413667830001	9.20574438506	2.55581615506	2.6982184782200003	0.604071323669	5.97544676564	4.40463068422	3.43962313756	0.650764559117	6.31143045575	6.088099184	0.53605290024	0.0840642647885	3.96716860753	7.30195339513	0.0143552929771	1.71808758396	0.565597175854	8.96116025814	5.52136487845	0.226508529809	8.3811968359	1.344828497	1.7004397181400002	3.7452373321300008	0.0285691521968	0.18903382439	6.965784284660001	3.53106949273	4.316145742290001	0.8953026213330001	1.42223300068	5.42021289061	1.71808758396	1.7355221772999998	2.32481060342	0.0840642647885	0.3219280948869999	0.0143552929771	0.263034405834
ACH-000212	0.209365	0.0143552929771	0.0840642647885	3.784503982930001	1.07038932789	7.89105457835	0.948600847493	0.163498732283	0.782408564927	0.2016338611699999	5.43929068104	3.32624970084	8.52997707391	0.0	1.26903314646	1.04264433741	2.54101915313	10.8309112797	0.2016338611699999	4.492494151680001	3.65535182861	0.2750070475	4.34908214639	1.92599941856	3.89530262133	0.0426443374084999	0.0	4.10181813423	0.903038270113	8.90953311495	6.0578834489	0.333423733725	0.0565835283664	6.63865311647	5.14608493862	2.45680614923	4.98276546258	0.0840642647885	4.02502879449	0.0565835283664	0.286881147788	0.0703893278914	3.10265813136	1.464668267	0.0	4.80167602925	1.124328135	3.67694435911	0.83995958749	0.0565835283664	5.20672135743	5.4669533371200005	6.614268135160001	5.60673831742	3.5933537709800003	7.931623967749999	2.7970129778400006	2.64846544303	6.34447345946	4.86690797814	1.0285691522	6.175923742059999	1.76128527336	0.678071905113	0.757023246507	0.111031312389	5.776103988069999	3.32481060342	6.25493411861	5.90038381667	1.80322703643	5.9371089462	3.48284828307	0.17632277264	0.3448284969969999	4.30012372457	0.378511623254	0.863938450424	0.17632277264	7.78299820892	3.31469652566	0.0285691521968	7.25029841791	0.214124805353	5.69905184402	2.3840498068	0.2016338611699999	2.65076455912	3.41413553298	3.83794324189	0.0285691521968	4.72137265948	0.0	0.933572638261	1.82374936031	2.05311133646	0.163498732283	0.0	0.111031312389	0.0	9.63743998402
ACH-000142	0.224363	2.37016428054	0.18903382439	0.356143810225	2.96532254837	6.40922119732	4.55151601763	1.55090066465	1.22650852981	4.13175409098	6.1747259877100005	1.29865831556	12.560523907	0.150559676575	3.71589337055	3.35614381023	4.83592407425	10.6258914511	4.07553263117	5.402585758230001	2.86789646399	6.6570683012	2.12101540096	1.86789646399	3.23266075679	0.8155754288629999	3.01435529298	0.0976107966264	1.99638874645	8.33293165932	0.226508529809	2.68706068834	0.0565835283664	8.305332180510002	7.46098823344	3.50969584193	1.64154602909	0.0143552929771	3.9699332747	0.2750070475	4.79337571126	1.01435529298	1.83995958749	4.14812063112	0.13750352375	0.555816155062	2.68929916054	6.92884403671	6.32391043802	0.0976107966264	3.42492208821	1.01435529298	5.004501392230001	1.08406426479	2.90689059561	11.3240680075	0.956056652412	1.22650852981	0.0426443374084999	5.969933274700001	1.2016338611700002	5.1838834590300005	0.263034405834	2.26903314646	3.49569516262	3.55949181321	3.38266725275	0.0426443374084999	5.80451826989	3.59454854955	4.33985000288	4.90592847817	3.79597469421	3.27052894238	1.84398384405	2.06004738367	1.05658352837	0.918386234446	3.41953889151	4.45877569908	3.42894634477	0.0565835283664	6.514911264859999	4.25851892471	7.37347421447	2.3391373849200003	2.39506279952	2.17951105027	5.09296850932	8.92380285757	2.03913839391	2.4462562298900004	0.0565835283664	2.99819550315	2.8298495598400004	3.9909548604	0.0840642647885	0.0	0.0840642647885	0.443606651476	6.82527683005
ACH-000174	0.0	0.0703893278914	0.0143552929771	0.53605290024	2.62993940944	8.04275376098	0.378511623254	0.0565835283664	0.0565835283664	0.0565835283664	2.04963076772	2.20163386117	9.7093768033	0.0	4.01435529298	0.0143552929771	0.263034405834	9.35040884394	3.14730669878	4.69265037004	0.18903382439	2.09761079663	4.28466218548	2.9541963103900004	2.37016428054	0.0	0.0	0.0	2.14077865578	2.47508488295	1.55581615506	0.464668267003	0.992768430769	6.2639733548	0.516015147004	2.3391373849200003	8.81236986597	0.0565835283664	2.9909548604	0.0143552929771	0.0565835283664	0.0	0.0143552929771	5.24906603386	0.0976107966264	0.83995958749	2.54101915313	0.584962500721	0.48542682717	0.0426443374084999	0.641546029088	2.16671544497	7.769242795139999	0.367371065649	3.68032435684	0.475084882949	1.82781902462	0.863938450424	0.0143552929771	7.271743135669999	0.0976107966264	5.718361626139999	0.298658315565	1.03562390973	0.918386234446	2.44890095115	5.55489577542	3.56437816857	6.44956137461	1.18903382439	5.36737106565	5.81839044447	4.59155974583	0.0143552929771	0.584962500721	8.13714485469	0.3448284969969999	4.544732655930001	0.163498732283	10.6573184496	3.99729240764	0.0	6.83655536777	0.17632277264	6.48623167798	0.650764559117	0.0285691521968	0.0426443374084999	6.32750773459	6.90171165389	0.0	6.897845456010001	0.807354922058	0.8953026213330001	0.111031312389	2.99819550315	4.4944156104	0.0	0.0285691521968	0.0	0.310340120612
ACH-000348	0.555611	0.0703893278914	0.0703893278914	4.50906238636	4.03913839391	9.1708764656	0.855989697308	0.0565835283664	0.1243281350019999	6.80774130648	0.722466024471	3.017921908	8.64053416939	1.7441610955700002	6.185866545310001	1.2016338611700002	2.5210507369	12.9682167807	3.0338634518700003	4.13339912542	6.22920335789	5.127220550490001	4.82883464947	3.5046203924	3.13093086983	0.17632277264	0.0703893278914	3.5668151540099995	5.24868662687	4.07467668629	5.412781525340001	1.70487196446	0.0285691521968	11.5932977414	5.34376312215	5.02147972741	3.96347412397	1.16992500144	2.7697717392500003	3.0840642647900003	1.7398481027	0.443606651476	0.948600847493	0.226508529809	0.526068811668	6.21140163742	2.50589092973	5.21994291395	8.56060032902	4.8262942455	0.0703893278914	2.6530600171	9.69795795266	6.762215915730001	1.37851162325	4.698218478219999	0.0703893278914	3.86591881455	0.111031312389	7.326159799289999	3.44095219803	5.12887075947	9.254957731989998	1.6322682155	1.04963076772	1.79908730607	6.72805655145	4.26678654069	2.85798099513	6.196331634269999	5.73443866614	5.42458622625	0.17632277264	0.0143552929771	4.748461233	7.527242402430001	0.516015147004	0.214124805353	4.44691786487	8.782048108260001	5.84197311893	3.72683121703	8.65080045375	4.84498815668	0.641546029088	1.9107326619	0.0285691521968	0.516015147004	7.58908931291	6.00472609359	2.6803243568400004	6.45992336268	0.0	1.3219280948899998	4.11603199345	0.731183241572	0.0565835283664	4.730639955919999	0.0976107966264	0.0143552929771	0.948600847493
